ts,regime,A_sig,A_pnl,B_sig,B_pnl,C_sig,C_pnl,srcA,srcB,srcC,n,conf
1771956000,trend_down,F,,L,2.7146,F,,charon_only,cbr_only,blended,49,0.2571
1771959600,trend_down,F,,F,,F,,charon_only,cbr_only,blended,32,0.1953
1771963200,trend_down,F,,L,4.4592,F,,charon_only,cbr_only,blended,32,0.1778
1771966800,trend_down,F,,L,6.5435,F,,charon_only,cbr_only,blended,32,0.1693
1771970400,trend_down,F,,L,7.001,F,,charon_only,cbr_only,blended,24,0.1282
1771974000,trend_down,F,,L,8.1268,F,,charon_only,cbr_only,blended,19,0.077
1771977600,trend_down,F,,L,7.3955,F,,charon_only,cbr_only,blended,22,0.0947
1771981200,trend_down,L,4.8349,F,,L,4.8349,charon_only,cbr_only,charon_only,0,0.0
1771984800,trend_down,L,4.5064,F,,L,4.5064,charon_only,cbr_only,charon_only,0,0.0
1771988400,trend_down,F,,F,,F,,charon_only,cbr_only,charon_only,0,0.0
1771992000,trend_down,F,,L,3.7652,F,,charon_only,cbr_only,blended,10,0.0204
1771995600,trend_down,F,,F,,F,,charon_only,cbr_only,charon_only,0,0.0
1771999200,trend_down,F,,F,,F,,charon_only,cbr_only,charon_only,0,0.0
1772002800,flat,F,,F,,F,,charon_only,cbr_only,blended,50,0.5038
1772006400,flat,F,,F,,F,,charon_only,cbr_only,blended,50,0.4665
1772010000,flat,F,,F,,F,,charon_only,cbr_only,blended,50,0.4182
1772013600,flat,F,,F,,F,,charon_only,cbr_only,blended,50,0.4352
1772017200,flat,F,,F,,F,,charon_only,cbr_only,blended,50,0.4782
1772020800,flat,F,,F,,F,,charon_only,cbr_only,blended,50,0.4592
1772024400,flat,L,2.4742,F,,F,,charon_only,cbr_only,blended,50,0.3532
1772028000,flat,L,2.3132,F,,L,2.3132,charon_only,cbr_only,blended,49,0.3366
1772031600,flat,L,1.2192,L,1.2192,L,1.2192,charon_only,cbr_only,blended,47,0.3335
1772035200,trend_up,L,-0.4602,F,,L,-0.4602,charon_only,cbr_only,blended,37,0.24
