K,min_distance,wr_A,wr_B,wr_C,sh_A,sh_B,sh_C,trades_A,trades_B,trades_C,avg_pnl_C,score,is_pass
10,1.0,0.4903,0.7094,0.6794,0.8489,7.5526,6.6115,618,2154,1547,0.8229,-0.9411,True
10,2.0,0.4903,0.7013,0.6741,0.8489,7.2798,6.412,618,2089,1519,0.7994,-0.8678,True
10,3.0,0.4903,0.6759,0.6513,0.8489,6.6758,5.7712,618,1700,1256,0.7564,-0.9046,True
30,1.0,0.4903,0.6899,0.6852,0.8489,6.9563,6.3255,618,2825,1334,0.7388,-0.6308,True
30,2.0,0.4903,0.6871,0.6818,0.8489,6.8635,6.2271,618,2806,1323,0.7312,-0.6364,True
30,3.0,0.4903,0.6696,0.6632,0.8489,6.1844,5.6324,618,2706,1259,0.6705,-0.552,True
50,1.0,0.4903,0.6915,0.6713,0.8489,6.5392,5.4883,618,2554,1080,0.6422,-1.0509,True
50,2.0,0.4903,0.6878,0.6657,0.8489,6.458,5.4112,618,2537,1071,0.6347,-1.0468,True
50,3.0,0.4903,0.6733,0.6467,0.8489,5.8881,4.8918,618,2479,1019,0.5821,-0.9963,True
100,1.0,0.4903,0.682,0.6312,0.8489,6.3176,3.9807,618,1934,781,0.4581,-2.3369,True
100,2.0,0.4903,0.679,0.6268,0.8489,6.2092,3.8732,618,1925,777,0.4472,-2.336,True
200,2.0,0.4903,0.6454,0.5705,0.8489,4.8017,2.5891,618,1362,589,0.3147,-2.2126,True
