k,horizon,acc,f1_macro,n_train,n_test,bal_-1,bal_0,bal_+1
1.0,10,0.438998514746446,0.33851835147707465,29913,4713,14223,2331,13359
1.0,15,0.46424010217113665,0.31847335861707193,29898,4698,14901,1080,13917
1.0,20,0.4868673926969891,0.3260852364796435,29883,4683,15150,629,14104
1.0,30,0.49344508918977004,0.32920105401736705,29853,4653,15262,274,14317
1.5,10,0.37704222363674944,0.3647602011107849,29913,4713,11650,7322,10941
1.5,15,0.42443593018305664,0.35728468744803593,29898,4698,13202,4056,12640
1.5,20,0.4524877215460175,0.33118795726285327,29883,4683,13936,2465,13482
1.5,30,0.4852783150655491,0.3331727464102619,29853,4653,14439,1190,14224
2.0,10,0.3789518353490346,0.37642625429138105,29913,4713,8894,12552,8467
2.0,15,0.3720732226479353,0.3612705543689194,29898,4698,11065,8101,10732
2.0,20,0.394191757420457,0.3400436639254545,29883,4683,12237,5444,12202
2.0,30,0.4418654631420589,0.3401921700620685,29853,4653,13319,3020,13514
2.5,10,0.40504986208359856,0.36179138349729273,29913,4713,6794,16682,6437
2.5,15,0.3710089399744572,0.370186132143936,29898,4698,9045,12159,8694
2.5,20,0.34251548152893446,0.33842821369644066,29883,4683,10544,9027,10312
2.5,30,0.38813668600902645,0.3461622110845921,29853,4653,12250,5496,12107
